"# مطلوب | معرف محتوى فريد للعنصر. يمكنك استخدام وحدة تتبع المنتج (SKU) إن أمكن. يجب أن يظهر كل معرف محتوى مرة واحدة فقط في كتالوجك. لتشغيل الإعلانات الديناميكية، يجب أن يتطابق هذا المعرف تمامًا مع معرف المحتوى لنفس العنصر في الرمز البرمجي لبيكسل فيسبوك الخاص بك. الحد الأقصى للأحرف: 100",# مطلوب | ‎A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200‎,# مطلوب | ‎A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999‎,# مطلوب | ‎The current availability of the item.‎ | القيم المدعومة: in stock; out of stock,# مطلوب | ‎The current condition of the item.‎ | القيم المدعومة: new; used,# مطلوب | ‎The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.‎,# مطلوب | عنوان URL للصفحة المحددة للعنصر حيث يمكن للأشخاص شراء العنصر.,# مطلوب | عنوان URL للصورة الأساسية للعنصر. يجب استخدام صورة بتنسيق مدعوم (JPG/GIF/PNG) وبدرجة دقة 500 × 500 بيكسل على الأقل.,# مطلوب | اسم العلامة التجارية للعنصر. الحد الأقصى لعدد الحروف: 100.,# اختياري | فئة منتج Google للعنصر. تعرف على المزيد عن فئات المنتجات على: https://www.facebook.com/business/help/526764014610932.,# اختياري | فئة منتج فيسبوك للعنصر. تعرف على المزيد عن فئات المنتجات على: https://www.facebook.com/business/help/526764014610932.,# اختياري | ‎The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable‎,# اختياري | ‎The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.‎,# اختياري | جنس الشخص الذي يتم توجيه العنصر إليه. | القيم المدعومة: female; male; unisex,# اختياري | ‎Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product‎
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,gender,product_tags[0]
DE90567,24-Piece Glitter Gold Artificial Nails – Luxurious & Chic,"Enhance your nail game with this 24-piece artificial nail set, featuring a stunning gold glitter gradient design for a glamorous and sophisticated look. These nails add the perfect shine for parties, events, or everyday elegance. Easy to apply and remove without damaging your natural nails.Specifications: Quantity: 24 pieces Material: High-quality, lightweight acrylic Design: Gold glitter gradient for a luxe touch Application: Easy to apply & remove without damage Perfect for: Parties, special occasions, & stylish daily wear",in stock,new,200.00 EGP,https://thedelicado.com,https://thedelicado.com/storage/app/public/product/thumbnail/2025-05-07-681b092405de1.webp,SHEIN,MAKE UP,Nails,1, 120 EGP ,female,ميك اب- شيجلام- SHEGLAM- make up- أمازون- amazon- shein- شي إن- ضوافر- أظافر-
DE90566,24-Piece French Floral Artificial Nails – Elegant & Chic,"Elevate your manicure game with this 24-piece artificial nail set, featuring a classic French tip design with delicate floral accents for a sophisticated and feminine touch. Easy to apply and remove, these nails are perfect for weddings, parties, or everyday elegance.Specifications: Quantity: 24 pieces Material: High-quality, lightweight acrylic Design: Classic French tips with soft floral patterns Application: Easy to apply & remove without damage Perfect for: Daily wear, engagements, & special occasions",in stock,new,200.00 EGP,https://thedelicado.com,https://thedelicado.com/storage/app/public/product/thumbnail/2025-05-07-681b09d45ab26.webp,SHEIN,MAKE UP,Nails,1, 120 EGP ,female,ضوافر- أظافر- شي إن- sh ein- shein- ميك اب- شيجلام- SHEGLAM-
DE90565,24-Piece Glitter Gradient Artificial Toenails – Elegant & Chic,"Enhance your pedicure game with this 24-piece set of artificial toenails featuring a soft gradient design with glitter accents for a sophisticated and feminine touch. Easy to apply and remove, these nails provide a salon-quality look in minutes, perfect for daily wear or special occasions.Specifications: Quantity: 24 pieces Material: Durable high-quality acrylic Design: Soft gradient with glitter accentsApplication: Easy to apply & remove without damage Perfect for: Everyday wear & special occasions",in stock,new,200.00 EGP,https://thedelicado.com,https://thedelicado.com/storage/app/public/product/thumbnail/2025-05-07-681b0a3312aa8.webp,SHEIN,MAKE UP,Nails,1, 120 EGP ,female,ضوافر- شي إن- أظافر- شي ان- shein- sh ein- sheinit- ميك اب- شيجلام-
DE90564,24-Piece Vintage Luxury Long Artificial Nails – Elegant & Glamorous,"Achieve an elegant and glamorous look with this 24-piece set of long artificial nails featuring vintage-inspired crystal embellishments and a chic bow accent. Perfect for parties, special occasions, or whenever you want a luxurious nail makeover. Easy to apply and remove without damaging your natural nails.Specifications: Quantity: 24 pieces Material: High-quality acrylic Design: Crystal embellishments & bow accentApplication: Easy to apply & remove without damage Perfect for: Parties, special occasions & luxurious looks",in stock,new,200.00 EGP,https://thedelicado.com,https://thedelicado.com/storage/app/public/product/thumbnail/2025-05-07-681b0aaf7854a.webp,SHEIN,MAKE UP,Nails,1, 120 EGP ,female,شي إن- ضوافر- أظافر- شي ان سعودية- شئ إن- shein- شي ان- شيجلام-
DE90558,24-Piece Rhinestone Embellished Nails – Glamorous & Luxurious Design,"Shine with elegance using this 24-piece set of rhinestone-embellished artificial nails! Designed with dazzling crystals and metallic accents for a glamorous and luxurious look. Perfect for special occasions, parties, and weddings. These nails are easy to apply and remove, giving you a professional salon-style manicure in minutes.Specifications: Quantity: 24 pieces Material: High-quality acrylic Design: Embellished with sparkling rhinestones & metallic accents Details: Luxurious and eye-catching look Application: Easy to apply & remove without damagePerfect for: Parties, special events & weddings",in stock,new,200.00 EGP,https://thedelicado.com,https://thedelicado.com/storage/app/public/product/thumbnail/2025-05-07-681b0b2f94bce.webp,SHEIN,MAKE UP,Nails,1, 120 EGP ,female,make up- شي إن- ضوافر- أظافر- شي ان- shein- شئ إن- amazon-
DE90356,24-Piece Press-On Nails – Long Coffin Design with Glitter & Elegant Rhinestones,"Supplier: SHEINColor: PinkNail Shape: RectangularType: 3D Press-On NailsDesign Pattern: Geometric, Line DesignColor Effect: Glossy, Shiny, Glitter",in stock,new,200.00 EGP,https://thedelicado.com,https://thedelicado.com/storage/app/public/product/thumbnail/2025-05-04-6817832505b00.webp,SHEIN,MAKE UP,Nails,1, 120 EGP ,female,
DE90353,"24-Piece Press-On Nails – Rectangular Design with Black French Tip, Bow & Rhines",Supplier: SHEINColor: MulticolorNail Shape: SquareType: 3D Press-On NailsAdhesive Nail Material: Resin,in stock,new,200.00 EGP,https://thedelicado.com,https://thedelicado.com/storage/app/public/product/thumbnail/2025-05-04-681782319e683.webp,SHEIN,MAKE UP,Nails,1, 120 EGP ,female,
DE90351,"24-Piece Press-On Nails – Long Almond Design with Glitter, Marble Pattern & Eleg","Supplier: SHEINColor: MulticolorNail Shape: RectangularType: 3D Press-On NailsDesign Pattern: Color Block, PlantsAdhesive Nail Material: Resin",in stock,new,200.00 EGP,https://thedelicado.com,https://thedelicado.com/storage/app/public/product/thumbnail/2025-05-04-6817810e7abbd.webp,SHEIN,MAKE UP,Nails,1, 120 EGP ,female,
DE90345,24-Piece Press-On Nails – Long Coffin Design with Glitter & Elegant Rhinestones,"Supplier: SHEINColor: PinkNail Shape: RectangularType: 3D Press-On NailsDesign Pattern: Geometric, Line DesignColor Effect: Glossy, Shiny, Glitter",in stock,new,200.00 EGP,https://thedelicado.com,https://thedelicado.com/storage/app/public/product/thumbnail/2025-05-04-68177fd676497.webp,SHEIN,MAKE UP,Nails,1, 120 EGP ,female,make up- SHEGLAM- أظافر- شي إن- شي ان- شيجلام-
DE90287,"24-Piece Press-On Nail Set – Long Coffin Design, Glossy & Transparent",Supplier: SHEINColor: MulticolorNail Shape: RectangularType: Colored Press-On NailsAdhesive Nail Material: Resin,in stock,new,200.00 EGP,https://thedelicado.com,https://thedelicado.com/storage/app/public/product/thumbnail/2025-05-04-68177e37c9efc.webp,SHEIN,MAKE UP,Nails,1, 120 EGP ,female,
